[Visionary] 0day-sub	远鉴字幕组&HAFEN字幕组联合制作
Sometimes, I think I'm cursed.	有时候 我觉得自己受到了诅咒
'Cause of something that happened before I was even born.	因为在我出生前发生了一些事
See, a long time ago, there was this family.	是这样 很久以前 我太奶奶的家里
The Papá, he was a musician.	他爸爸 是一位音乐家
He and his family would sing and dance	一家人都喜欢唱歌跳舞
and count their blessings.	过的很幸福
But he also had a dream.	可是爸爸有个梦想
To play for the world.	让自己的歌声传遍整个世界
And one day...	有一天
he left with his guitar...	他背着吉他走了
and never returned.	再也没有回来
And my Mamá...	我太奶奶
She didn't have time to cry over that walk-away musician.	可没心情为离家出走的爸爸难过
After banishing all music from her life...	她把音乐彻底赶出了生活
she found a way to provide for her daughter.	她要想办法赚钱养活女儿
She rolled up her sleeves...	她卷起袖子
and she learned to make shoes.	学会了做鞋
She could have made candy.	她明明可以做糖果
O-o-or fireworks.	或者做烟花
Or sparkly underwear for wrestlers.	或者做亮闪闪的摔跤服
But no.	可她就不
She chose shoes.	她选择做鞋子
Then she taught her daughter to make shoes.	后来她教会了她女儿做鞋子
And later, she taught her son-in-law.	再后来 她又教女婿做鞋
Then her grandkids got roped in.	最后连孙子孙女们都做鞋
As her family grew, so did the business.	人手越来越多 生意也越来越红火
Music have torn her family apart.	音乐把这个家拆散了
But shoes held them all together.	鞋子又把这个家凝聚在了一起
You see that woman...	你看这个人
was my great-great-grandmother...	这个就是太奶奶的妈妈
Mamá Imelda.	伊梅尔达
She died way before I was born.	我还没出生时 她就过世了
But my family still tells her story...	但是每年到了亡灵节
every year on Día de los Muertos -- the Day of the Dead...	家里人都要把她的光辉事迹拿出来
And her little girl? She's my great-grandmother, Mamá Coco.	这个小女孩 就是我的太奶奶 她叫可可
Hola, Mamá Coco.	太奶奶 你好啊
How are you, Julio?	老头子 你来了
Actually, my name is Miguel.	实际上 我的名字叫米格
Mamá Coco has trouble remembering things.	太奶奶她记性不太好
But it's good to talk to her, anyway.	不过跟她聊天挺好的
So, I tell her pretty much everything.	我基本上什么都跟她说
I used to run like this.	我以前是这样跑的
But now I run like this, it's just way faster.	现在我是这样跑的 这样跑更快
The winner is... luchadora Coco!	获胜者是 太奶奶!
I have a dimple on this side, but not on this side.	我这边有个酒窝 这边没有
Dimple, no dimple. Dimple, no dimple.	有酒窝 没酒窝 有酒窝 没酒窝
Miguel, eat your food.	米格 好好吃饭
My abuelita, she's Mamá Coco's daughter.	这位是我奶奶 我太奶奶的女儿
